Topic,Count,Name,Representation,Representative_Docs
-1,42366,-1_add_minutes_heat_stir,"['add', 'minutes', 'heat', 'stir', 'mixture', 'bowl', 'sugar', 'mix', 'cook', 'water']","['Fig Bars. Make the cookie dough: In the bowl of an electric mixer fitted with the paddle attachment, cream butter, 1/2 cup plus 2 tablespoons sugar, the vanilla, and salt together until smooth. Add 1 egg and egg yolk, beating to combine, scraping the sides of the bowl with a rubber spatula. Add flour gradually, and continue beating until just blended. Transfer the dough to a sheet of plastic wrap, and shape into a rectangle. Wrap the dough well. Chill in the refrigerator until firm, about 2 hours. Make the filling: In a shallow, medium saucepan, combine lemon rind, cinnamon stick, figlets, cognac, 1 cup sugar, and 2 cups water over medium-high heat. Bring to a boil, and reduce heat to low; simmer until the liquid has evaporated, about 30 minutes, stirring occasionally. Remove lemon rind and cinnamon stick, and let cool. Place fig mixture in the bowl of a food processor, and pulse until smooth, 20 to 30 seconds. Remove the cookie dough from the refrigerator, and divide in half. On a parchment-lined work surface that has been lightly floured, roll 1/2 of the dough into a rectangle about 1/8-inch thick. Trim the dough to 9 by 12 inches with a pizza wheel or a knife. Cut the rectangle lengthwise into 3 strips, 3 by 12 inches. If the dough becomes soft, it may be necessary to chill it again. Transfer the filling to a pastry bag fitted with a#8 or#808 plain tip. Pipe the filling down the center of each strip. Brush beaten egg along 1 of the 12-inch sides of dough. Fold dough over fig filling to enclose, pressing gently to seal. Transfer to a baking sheet lined with a parchment paper, seam side down. Repeat with the remaining dough and filling. Chill in refrigerator for 30 minutes. Preheat oven to 350 degrees F. Bake cookies until light golden, 20 to 25 minutes. Remove to a cooling rack. When completely cooled, transfer to a cutting board, and cut each log into 1 1/2-inch cookies with a serrated knife.', 'Cauliflower Turkey Tetrazzini. Cook pasta according to package directions, omitting salt and fat. Drain. Preheat oven to 375°. Heat 1 tablespoon olive oil in a large saucepan over medium heat. Add onion; cook 5 minutes or until softened, stirring occasionally. Add mushrooms; cook 5 minutes or until golden and most of liquid evaporates. Sprinkle flour over vegetables; cook 1 minute, stirring constantly. Stir in wine. Add 1 cup chicken stock. Increase heat to medium-high; cook 2 minutes, stirring until smooth. Add milk; bring to a boil. Cook 4 minutes or until sauce is thickened, stirring almost constantly. Stir in 2 teaspoons thyme, salt, pepper, and 2 ounces Parmesan cheese. Remove from heat. Place remaining 3/4 cup stock and Cauliflower Salad in a blender; process until smooth. Stir into sauce. Add turkey and pasta; toss to combine. Spoon into a 2-quart glass or ceramic baking dish coated with cooking spray. Combine remaining 2 teaspoons oil, panko, and remaining 1 teaspoon thyme in a small skillet; cook over medium heat 2 minutes or until lightly toasted. Stir in remaining 1 ounce cheese; sprinkle over pasta mixture. Bake at 375° for 20 minutes or until browned and bubbly.', 'Strawberry Blitz Torte. Place egg whites in a large bowl; let stand at room temperature 30 minutes. Preheat oven to 325°. Line bottoms of two greased 8-in. round baking pans with parchment paper; grease paper. In a large bowl, cream butter and sugar until light and fluffy. Add egg yolks, one at a time, beating well after each addition. Beat in extract. In another bowl, whisk flour, baking powder and salt; add to creamed mixture alternately with milk, beating well after each addition. Transfer to prepared pans. For meringue, with clean beaters, beat egg whites with vanilla and cream of tartar on medium speed until foamy. Gradually add sugar, 1 tablespoon at a time, beating on high after each addition until sugar is dissolved. Continue beating until stiff glossy peaks form. Spread over batter in pans; sprinkle with almonds. Bake 28-32 minutes or until meringue is lightly browned. Cool completely in pans on wire racks (meringue will crack). Meanwhile, for filling, in a small heavy saucepan, mix sugar and cornstarch. Whisk in milk. Cook and stir over medium heat until thickened and bubbly. Reduce heat to low; cook and stir 2 minutes longer. Remove from heat. In a small bowl, whisk a small amount of hot mixture into egg yolks; return all to pan, whisking constantly. Bring to a gentle boil; cook and stir 2 minutes. Remove from heat; stir in butter and vanilla. Cool completely. Loosen edges of cakes from pans with a knife. Using two large spatulas, carefully remove one cake to a serving plate, meringue side up. Gently spread with filling. Arrange strawberries over filling. Top with remaining cake layer, meringue side up. If desired, serve with whipped cream. Refrigerate leftovers.']"
0,3772,0_chicken_breasts_place chicken_minutes,"['chicken', 'breasts', 'place chicken', 'minutes', 'chicken breasts', 'heat', 'add chicken', 'sauce', 'place', 'breast']","['Chicken Chasseur (Hunter-Style Chicken) with Creamy Polenta with Gruyere and Parmesan. Heat a few tablespoons of oil in a Dutch oven over high heat. Sprinkle the chicken pieces on both sides with salt and pepper. Place the chicken in skin-side down and cook until golden brown. Turn the chicken over and brown the other side. Remove the chicken to a baking sheet or plate and set aside. Add the mushrooms, season with salt and pepper and saute until golden brown. Remove the mushrooms from the pan. Add a touch more canola oil and add the shallots and cook for 30 seconds. Add 1 tablespoon of the tomato paste and cook for 1 to 2 minutes. Add the white wine and cognac and reduce for 4 to 5 minutes. Add the stock and bring to a boil. Add the mushrooms and nestle the chicken into the sauce, skin-side up. Reduce the heat to a simmer, cover and cook until the chicken is cooked through, about 15 minutes. Once the chicken is cooked, remove it from the pan and put on a plate. Taste the sauce. Add 1 more tablespoon tomato paste and whisk to combine. Add the butter to enrich the sauce. Check the seasoning. Add the tarragon and stir to combine. Serve the sauce with the chicken and some of the Creamy Polenta with Gruyere and Parmesan. Garnish with a couple sprigs of chervil. Add the stock to a medium saucepan and bring to a boil over high heat. Add the polenta in a fine stream, whisking constantly with a wire whisk. Once all the polenta has been added, reduce the heat to low and cover the pan. Stir the mixture, using a wooden spoon, every 5 minutes and continue cooking until all the liquid has been absorbed and the mixture is very creamy, 10 to 15 minutes. Remove from the heat and stir in the heavy cream and cheeses until combined. Taste and season with salt and pepper.', 'Chicken With Garlic. Mix vegetable oil, herbes de Provence and garlic in small bowl. Season with salt and pepper. Place chicken cut side down in 13x9x2 inch baking pan. Slide fingertips under chicken skin to loosen. Spread some of garlic mixture under skin over breast and leg of each chicken half. Rub remainder of mixture over outside of chicken. Cover with plastic and refrigerate overnight. Position rack in center of oven and preheat to 350 degrees F. Toss whole garlic cloves with olive oil. Place around chicken. Roast until chicken is almost cooked through, about 45 minutes. Remove chicken from pan; reserve pan juices and garlic. Meanwhile, preheat broiler or prepare barbecue (medium-high heat). Broil or grill chicken until cooked through, turning frequently, about 7 minutes. Transfer chicken to platter. Skim any fat from reserved pan juices. Arrange garlic around chicken. Pour pan juices over and serve.', 'Maple And Rum Glazed Chicken. Preheat oven to 425 degrees. Place chicken on a bar pan, and blot chicken dry with a paper towel. Blotting the chicken dry will help make the skin very crisp. Drizzle oil onto chicken and season chicken with salt and pepper. Spread softened butter on chicken spreading as evenly as you can. Bake chicken for 30 minutes. While chicken is baking prepare the glaze. In a small bowl combine maple syrup and rum and whisk together. Season maple syrup with additional salt and pepper. Remove chicken from oven, spoon the glaze over the chicken, and bake for an additional 15 minutes, or until the chicken is done. The chicken is done when the thighs can be pierced with a sharp knife, and the juices come out clear.']"
1,2613,1_salad_dressing_lettuce_toss,"['salad', 'dressing', 'lettuce', 'toss', 'ingredients', 'bowl', 'vinegar', 'salad mix', 'combine', 'vinaigrette']","['Italian Orange Salad. Toss oranges and onions in large salad bowl. Add dressing; mix lightly. Spoon lettuce mixture evenly onto 4 salad plates; top with the orange mixture.', 'Crab and Spinach Salad. Create the dressing: mix tzatziki sauce, yogurt, mayo and lemon juice in a small bowl. You can add or change the dressing according to your taste preferences. Mix all other ingredients in a bowl. This is the salad. Add dressing and toss salad.', 'Salad Dressing. Mix all ingredients together. Store in refrigerator. Can be used on potato salad, cabbage salad and lettuce salad.']"
2,2374,2_cake_pan_beat_flour,"['cake', 'pan', 'beat', 'flour', 'sugar', 'batter', 'bake', 'chocolate', 'eggs', 'cream']","['Oak Tree Bûche De Noël. Preheat oven to 350°. Make cake: Butter a jelly roll pan* (a 10- by 15-in. rimmed baking pan); line with parchment paper. Butter paper, then dust pan with 2 tsp. flour. In a large bowl, whip egg whites on medium-high speed with a mixer until they hold soft, distinct peaks, 1 1/2 to 2 minutes. Transfer to a medium bowl and set aside. In the large bowl with mixer on medium-high speed, whip egg yolks, gradually adding granulated sugar, until very light in color, about 5 minutes. Whip in vanil-la until incorporated, then add remaining 1/4 cup flour and whip to blend. Gently but thoroughly fold in egg whites. Pour batter into prepared pan and gently spread smooth. Bake until cake is golden brown and center springs back a bit when lightly pressed, 12 to 17 minutes. Let cake cool 3 to 4 minutes. Run a thin knife between cake and sides of pan. Turn out cake onto a smooth kitchen towel set on a work surface. Peel off parchment paper. Let cake cool completely on towel. Make filling: Brush cake with liqueur, then cover with plastic wrap to prevent drying. In a clean medium bowl, whip cream, -vanilla, and powdered sugar with a mixer on medium speed until thick, 3 to 4 minutes. Fold in toffee bits and hazelnuts. Uncover cake and spread evenly with whipped cream. Lift towel on a long side and roll cake into a smooth, compact log. Cut 4 strips of parchment, each 2 to 3 in. wide, with 2 strips a little longer than cake and 2 a little wider. (These will keep board clean while you frost cake.) On a large board or flat platter about 14 in. by 20 in., arrange parchment strips in a rectangle a bit wider than cake. Lifting carefully, set cake seam-down on parchment. Make frosting: Wipe mixer bowl clean. Beat cream cheese and butter on medium speed until well blended. Add powdered sugar and cocoa and beat until smooth. Thickly spread frosting over top and sides of cake but not the ends, preferably using a small offset spatula. With edge of spatula, create irregular ""bark"" grooves in frosting. Run a knife along edge of cake to free frosting from parchment, but leave parchment in place. Chill cake, uncovered, until frosting firms, 45 minutes. With a serrated knife, cut through cake diagonally 3 to 4 in. from 1 end, but leave piece in place. Pour a little silver pearl dust into a fine strainer over a plate. Gently tap strainer over cake to create as much gray outer ""bark"" as you like. Repeat with lime-green color dust to create spots of ""lichen."" Carefully pull out parchment strips and discard. Lift short piece of cake with a wide spatula and fit diagonal end of cake piece against cake roll to create a forked log. Arrange rosemary branches so that they appear to be sprouting from log. Add about 10 cookie leaves and 8 acorns to branches. Slice cake crosswise and serve remaining cookies and acorns on the side.', 'Double Baked Chocolate Cake. Preheat the oven to 350°. Butter a 9-inch springform pan and line the bottom with a round of parchment paper. Butter the paper, then dust the pan with sugar, tapping out any excess. In a heatproof bowl set over a saucepan of simmering water, melt the chopped chocolate with the butter. Add the cocoa powder and stir until smooth. Remove from heat and allow to cool slightly. In the bowl of an electric mixer, beat the egg yolks with 2/3 cup of the sugar until pale and light, about 3 minutes. Transfer yolk mixture to a large bowl, then wash mixer bowl and beaters. Using clean beaters, beat the egg whites until soft peaks form. Gradually add the remaining 2/3 cup of sugar and beat until the whites are firm and glossy. Fold the chocolate into the egg yolk mixture until barely combined. Fold in the egg whites just until no white streaks remain. Reserve 2 cups of the batter in a medium bowl, cover with plastic, and refrigerate. Scrape the remaining batter into the prepared pan and smooth the top with a rubber spatula. Bake for 45 minutes, or until the cake is puffed and a toothpick inserted in the center comes out clean. Cool the cake completely on a wire rack. Once cooled the cake will deflate and cave a bit in the center. Remove the side from the springform pan and spread the reserved cake batter over the top of the cake, leaving a 1-inch border around the edge. Refrigerate the cake for at least 1 hour. Preheat the oven to 425°. Bake the cake for 10 minutes, or until a thin crust forms on top and the batter is soft and gooey beneath the crust. Let the cake cool for about 10 minutes, transfer to a serving dish then cut into wedges and serve warm with ice cream. The cake can be prepared through Step 4 and refrigerated, covered, for up to 2 days.', 'Yellow Cake With Chocolate Frosting. Preheat oven to 350°. To prepare cake, coat bottom of a 13 x 9-inch baking pan and an 8-inch square baking pan with cooking spray (do not coat sides of pans); line bottoms of pans with wax paper. Coat wax paper with cooking spray; dust pans with 1 1/2 tablespoons flour. Set aside. Combine 3/4 cup butter and sour cream in a large bowl, stirring with a whisk until well blended. Add granulated sugar and 1 tablespoon vanilla. Beat with a mixer at medium speed 3 minutes or until well blended. Add eggs and egg whites, 1 at a time, to sugar mixture, beating well after each addition. Weigh or lightly spoon 5 ounces flour (about 3 cups) into dry measuring cups; level with a knife. Combine 5 ounces flour, baking soda, and 3/4 teaspoon salt in a large bowl, stirring with a whisk. Add flour mixture and buttermilk alternately to sugar mixture, beginning and ending with flour mixture. Pour about two-thirds of batter into 13 x 9-inch pan; pour remaining batter into 8-inch square pan. Sharply tap pans once on counter to remove air bubbles. Bake at 350° for 30 minutes or until a wooden pick inserted in center comes out clean. Cool in pans on a wire rack for 10 minutes. Remove from pans; cool completely on wire racks. To prepare frosting, place cream cheese, 6 tablespoons butter, and 1 1/2 teaspoons vanilla in a large bowl; beat with a mixer at medium speed until fluffy. Add cocoa, milk, and 1/8 teaspoon salt; beat at low speed until blended. Gradually add powdered sugar, beating until well combined. To prepare baby cake, cut 2 (4-inch) circles out of 8-inch square cake. Place 1 cake layer on a small plate; spread with 3 tablespoons frosting. Top with remaining cake layer. Spread 3/4 cup plus 1 tablespoon frosting over top and sides of cake. To prepare adult cake, place 13 x 9-inch cake on a serving platter; spread 2 cups frosting on top and sides of cake. Store cakes loosely covered in refrigerator.']"
3,1755,3_cookies_cookie_dough_sheet,"['cookies', 'cookie', 'dough', 'sheet', 'sugar', 'cookie sheet', 'chocolate', 'baking', 'flour', 'butter']","['Chewy Peanut Butter And Chocolate Hazelnut Sandwich Cookies. HEAT oven to 350°F Beat sugar, brown sugar, butter and peanut butter in large mixing bowl on medium speed of electric mixer until creamy. Beat in eggs, milk and vanilla. Stir in rolled oats, flour, coconut, baking powder and baking soda until well blended. DROP dough by tablespoonfuls, 2 inches apart, onto ungreased cookie sheets. Bake 10 to 12 minutes or until light brown around edges. Cool 2 minutes before removing to wire rack to cool completely. SPREAD 2 teaspoons chocolate hazelnut spread on bottom side of half the cookies. Top with remaining cookies, flat side down, to form sandwich cookies.', 'White Chip Chocolate Cookies. Heat oven to 350°. In a large mixing bowl, beat butter and sugar until creamy. Add eggs and vanilla; beat until light and fluffy. Stir together flour, cocoa, baking soda and salt. Gradually add to butter mixture, beating until well blended. Stir in white chips. Drop by rounded teaspoonfuls onto ungreased cookie sheet. Bake 8 to 9 minutes. (Do not overbake; cookies will be soft. They will puff while baking; flatten upon cooling.) Cool slightly; remove from cookie sheet to wire rack. Cool completely. Yield 4 1/2 dozen cookies.', ""Oh My! (Heavy Sigh) Peanut Butter Chocolate Chip Cookies. Preheat oven to 350 degrees. In a large bowl, combine the flour, baking soda, baking powder and salt. Set aside. In a large bowl, beat the butter and the peanut butter together until fluffy. Add both sugars and beat until smooth, scraping down the sides of the bowl. Add the egg and beat well. Add the milk and vanilla extract. Once that is mixed well, start adding the flour mixture slowly and beat well. Stir in the peanut butter and chocolate chips. Put the 2 Tablespoons white sugar in a bowl. Drop cookie dough by rounded teaspoonfuls into the sugar. (I use a scoop and then roll it to make round) rolling to coat. Place on ungreased cookie sheets leaving several inches between for expansion. Using a fork, lightly indent top w/criss-cross pattern being careful not to overly flatten cookies. Bake for 10-12 minutes.do not overbake. Cookies may appear to be underdone, but they are not. Remove and let sit on cookie sheets for 1 minute. (they will fall apart if you don't). Remove to a rack and cool completely. Store in airtight container if there are any left! U.""]"
4,1725,4_potatoes_potato_tender_potato salad,"['potatoes', 'potato', 'tender', 'potato salad', 'salt', 'minutes', 'pepper', 'mashed', 'cheese', 'bake']","['Potatoes And Chives, Oven-Browned. Peel potatoes. Cut each potato into 4 wedges, then cut wedges in half. Rinse with cold water. Place potatoes in a large pot with water just over the top of potatoes. Bring to a boil. Turn heat down to medium-high and cook for 20 minutes or until potatoes can be easily cut with a fork. Drain.', ""Bea'S Caesar Mashed Potatoes. Cook potatoes in water until tender. Drain potatoes. Mash potatoes. Mix potatoes with remaining ingredients. Serve."", ""Mom's creamy southern mashed potatoes. Pick 6 good potatoes and rinse off. Peel you potatoes whichever way you feel comfortable I usually cut up potatoes in cubes but you can choose to leave them whole Get your large sauce pan and add potatoes with enough water to cover the potatoes Add a dash of salt to water and boil until potatoes are softened Drain water from pan Add your salt, milk, pepper, butter, and mayo then mash up, usually at this part you can just stir up because the potatoes should be soft enough After mashing up the potatoes they will be extremely creamy and taste amazing!!! Enjoy""]"
5,1683,5_pork_chops_pork chops_meat,"['pork', 'chops', 'pork chops', 'meat', 'roast', 'sauce', 'heat', 'minutes', 'tenderloin', 'skillet']","['Pork Chops Smothered In Onion Gravy. Mix seasoned salt, garlic powder, black pepper, and paprika together in a bowl; rub about 3/4 teaspoon spice mixture onto each pork chop. Thoroughly coat each pork chop with flour, saving remaining seasoning and flour for the gravy. Heat vegetable oil in a heavy skillet over medium-high heat; cook pork chops in the hot oil until browned, about 3 minutes per side. Transfer pork chops to a plate, retaining drippings in the pan. Cover pork chops with paper towels. Cook and stir onion in the drippings in the heavy skillet over medium heat until browned, 5 to 10 minutes. Add mushrooms, remaining flour, remaining spice mixture, and about 1 teaspoon water if needed to moisten; cook and stir until onion is golden brown, about 5 minutes. Stir 2 cups water into onion-mushroom mixture until gravy is smooth; bring to a boil. Place pork chops in the gravy, reduce heat, cover skillet, and simmer until pork chops are tender, about 1 hour. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).', 'Pork Chops With Shallots In White Wine Sauce. Preheat oven to 350 degrees. Season pork chops liberally with salt and pepper. Heat oil in large skillet and brown pork chops on both sides. Remove pork chops to a baking dish. Cover with foil and bake for 20 minutes. While pork chops are baking, add minced shallots to the same pan and cook for one minute. Add white wine and simmer until sauce becomes thicker and is reduced. Add chicken stock and season with salt and pepper. Return to simmer. Remove chops from oven and place on platter. Add the cold butter to the sauce. When melted, stir, and serve over the pork chops.', 'Easy Pork Chops With Roasted Vegetables. Preheat the oven to 400°F. Line an extra-large baking sheet with parchment paper. Cut the vegetables into uniform pieces. For vegetables like broccoli and cauliflower, cut into 1-inch florets. Slice carrots a 1/4-inch thick. For zucchini and summer squash, slice 1/2-inch thick. Cut bell peppers or onions into 1-inch strips. Halve Brussels sprouts, etc. Arrange the vegetables on the baking sheet. Drizzle with 1 1/2 Tbsp. olive oil, and sprinkle with 1/2 tsp. salt, and black pepper, to taste. Stir with a rubber spatula to evenly coat the vegetables in the oil. Roast the vegetables for 15-20 minutes on the middle rack of oven. While the vegetables roast, prepare the pork chops. Season the pork chops on both sides with 1 tsp. salt, 1/2 tsp. black pepper, garlic powder, and paprika. Set a large skillet over medium-high heat and pour in 1 1/2 tsp. of olive oil. Once the oil is shimmering, place two pork chops in the skillet. Sear the pork for 2-3 minutes, undisturbed, until browned on the bottom. Flip the chops, and sear for an additional 2 minutes on the other side. Transfer the pork chops to a dinner plate. Repeat the searing process with the remaining oil and pork chops. Once the vegetables have roasted for 15-20 minutes, open the oven door. Use a rubber spatula to push the vegetables toward the edges of the pan, creating space in the center to lay the pork chops. Transfer the pork chops to the center of the baking sheet. Roast the pork chops and vegetables for 7-8 minutes, until the vegetables are slightly charred and the meat reaches an internal temperature of 140°F. Pro tip: Using boneless pork chops? Keep an eye on them, as they will cook faster than bone-in pork chops. Check to see that pork chops are done. Remove from oven or add time as needed. Allow the pork chops to rest for 3 minutes. Plate the pork chops with the vegetables and serve immediately.']"
6,1617,6_soup_simmer_add_heat,"['soup', 'simmer', 'add', 'heat', 'pot', 'broth', 'boil', 'cook', 'stock', 'potatoes']","['Hearty chicken and vegetable soup. Heat oil in a large saucepan over medium heat. Add leek and garlic. Cook, stirring, for 2 minutes or until soft but not coloured. Add carrot, celery, zucchini and swede. Cook for 2 minutes. Stir in soup mix, stock, chicken and 1 cup cold water. Increase heat to high. Bring to the boil. Reduce heat to low. Simmer, partially covered, stirring occasionally, for 1 hour or until soup mix and vegetables are tender. Remove chicken legs from soup. Allow to cool slightly. Remove meat from bones. Roughly chop chicken meat and add to soup. Season with salt and pepper. Ladle soup into warmed bowls. Serve.', ""Make-Ahead Garlic-Potato Soup(Cook'S Illustrated). TO MAKE SOUP BASE: Melt butter in Dutch oven over medium heat. When foaming subsides, add leeks and cook until soft (do not brown), 5 to 8 minutes. Stir in minced garlic and cook until fragrant, about 1 minute. Add garlic heads, 6 cups broth, bay leaves, and 3/4 teaspoon salt; partially cover pot and bring to simmer over medium-high heat. Reduce heat and simmer until garlic is very tender when pierced with tip of knife, 30 to 40 minutes. Add potatoes, partially cover pot, and bring mixture to simmer over medium-high heat. Take pot off heat and let rest 10 minutes. Separate soup into 2 storage containers and freeze up to 1 month. TO REHEAT AND SERVE: Run hot water over surface of storage containers to help release frozen blocks of soup. Add soup and 1 cup broth to large Dutch oven set over medium-high heat. Cover and cook, stirring occasionally, until soup is hot and potatoes are tender, about 20 minutes. Discard bay leaves. Remove garlic heads; using tongs or paper towels, squeeze garlic heads at root end until cloves slip out of their skins. Using fork, mash garlic to smooth paste in bowl. 3. Stir cream, thyme, and half of mashed garlic into soup; heat soup until hot, about 2 minutes. Taste soup; add remaining garlic paste if desired. Using immersion blender, process soup until creamy, with some potato chunks remaining. Alternatively, transfer 1 1/2 cups potatoes and 1 cup broth to blender or food processor and process until smooth. (Process more potatoes for thicker consistency.) Return puree to pot and stir to combine. Season with salt and pepper and serve, sprinkling each portion with chives and garlic chips. For Garlic Chips: Heat oil and garlic in 10-inch skillet over medium-high heat. Cook, turning frequently, until light golden brown, about 3 minutes. Using slotted spoon, transfer garlic to plate lined with paper towels; discard oil. Sprinkle lightly with salt."", 'Curried Carrot Ginger Soup. Boil the potatoes in 3-4 cups of water until tender, about 20 minutes. When the water comes to a boil, add the bouillon and stir to help it dissolve. Once the potatoes are tender. turn the burner off and let them sit in the pot. In the meantime, pour the oil into a soup pot on medium heat. Add the onion, half the carrots, the ginger, nutmeg, curry powder, salt (if using additional salt), and pepper. Saute for 6-8 minutes, stirring with a wooden spoon. Add the remaining carrots, the cooked potato, and the broth. \r\nAdd 1 additional cup water, and stir. At this stage, you can also add the crushed garlic, which will resemble a paste. Bring to a boil, then reduce heat and simmer, covered, until the carrots are tender, about 25-30 minutes. In a blender or food processor, blend 3 ladlefuls of the soup. Return the blended soup to the pot with the remaining soup (if you prefer a fully pureed soup, puree it all; if, like most Americans, you like ""stuff"" in your soup, puree less for more texture). Then, stir in the coconut milk (make sure to shake the can of coconut milk before opening it; also, stir it before adding it to the soup to break it up). Add more curry powder, salt and/or pepper to taste. Ladle into bowls and garnish with the chopped chives. Enjoy!']"
7,1540,7_apples_apple_cinnamon_sugar,"['apples', 'apple', 'cinnamon', 'sugar', 'pie', 'applesauce', 'cake', 'bake', 'flour', 'apple pie']","['All American Apple Pie. Preheat the oven to 375 degrees. In a large bowl, combine the sugar, flour,cinnamon and nutmeg; mix well, add the apples and toss to coat completely. Line a 9"" pie plate with pie crust. Pour the apple mixture into the pie plate. In a small bowl, combine the butter and vanilla and pour over the apples. Cover the apples with the pie crust, pressing against the pie plate to seal, and flute, if desired. Spray the crust with nonstick cooking spray and bake for 50-55 minutes, or until the crust is golden and the apples are tender.', 'Perfect Apple Pie. Peel, halve and core the apples. Cut them into 3/4 inch wedges. Toss the apples in a large bowl with the juice of the lemon. Melt the butter in a 12"" skillet. Stir in the brown sugar. Add the apples and turn to coat. Increase the heat to high and cook, turning occasionally, until most of the wedges are tender but not mushy, about 15 minutes. Do not overcook. Immediately scoop the apples and their juices onto a rimmed baking sheet. Sprinkle the flour and cinnamon over them and toss until the flour disappears. Place the baking sheet on a wire rack and let the apples cool to room temperature, about 40 minutes. Preheat the oven to 450. Arrange the apples in the pie shell; drizzle the juices over them. Cover with top crust and crimp. Dissolve the sugar into the milk and brush the top crust with a pastry brush. Prick with a fork. Bake the pie for 25 minutes, or until the crust is golden brown. Reduce the heat to 375 and bake for 20 minutes longer, or until you hear the filling bubbling. Transfer the apple pie to a wire rack and let cool for at least 1 hour before serving.', ""Apple Crisp. Preheat oven to 375 degrees. Peel, core and slice the apples. Put the apples in a bowl. Mix in 1/2 cup brown sugar. In another bowl, mix 1 cup flour, 3/4 cup sugar, cinnamon and 1/4 tsp salt. Take another bowl. In this, beat the egg and butter. Add to the dry ingredients. This is the topping for your apple crisp. Now put the apples in the baking dish and pour the topping over them. Bake for 30-40 minutes. Once it's done, you'll find that the apples are soft and the topping is golden and crisp. Remove it from the oven and let it cool. Apple crisp is ready to be served!""]"
8,1299,8_beans_green beans_green_bean,"['beans', 'green beans', 'green', 'bean', 'bacon', 'water', 'cook', 'drain', 'baked beans', 'add']","['Homemade Baked Beans. Sort through the beans and pick out any dried-up beans or small pebbles. Rinse them well in a colander, add them to a large Dutch oven and cover with 3 inches of water. Bring the beans to a boil for 2 minutes. Cover and let sit on the stove for 1 hour. Drain the beans and rinse again. Alternatively, you could soak the beans in water overnight. Preheat the oven to 325 degrees F. Add the bacon to the same Dutch oven and cook over medium heat, while stirring, until the bacon has rendered some of its fat, about 3 minutes. Turn the heat up to medium-high, add the garlic and onions and saute until the bacon is almost crisp and the garlic and onions are softened, about 5 minutes. Season the bacon with a good pinch of salt and pepper and then stir in the chili powder, sauteing for 1 minute to toast the spice and until fragrant. Stir in 4 cups water, the chicken stock, ketchup, molasses, brown sugar, balsamic vinegar, mustard and Worcestershire sauce. Stir in the beans, bring to a simmer, cover with a lid and place in the oven for 5 hours. Check the beans every few hours to give a stir. Add water to the pot, only if needed, if the beans are looking dry and to prevent them from burning. Beans are ready when they are tender and the sauce is thick.', 'Baked Beans. Cook bacon (not crisp) and place in casserole. Saute cut-up green pepper and cut-up onion and place in casserole. Drain pinto beans, kidney beans and green beans. Do not drain pork and beans. Add beans to casserole along with sugar and catsup. Bake 1 hour at 325°.', ""Crock Pot Refried Beans. The night before you want to cook the beans. Rinse beans several times in warm water. Put them in a large pot. Cover with cold water up to 2-3 inches above beans. Let set over night. Drain and rinse beans. Layer bacon strips on bottom of crock pot. Top with remaining ingredients and beans. Cover with water about 1 inch or so above beans. Add remaining ingredients to pot. Turn on and cook all day until beans are tender. Bacon will float to the top but that's ok. Remove bay leaves. Mash beans with potato masher. As mashed as you like them. I mash the bacon up with the beans but you can remove it. I like to leave it with some whole beans too. You can re-cook these in a non stick skillet. Serve with grated cheese and chopped green onions. Or anything else that you like to go with your beans.""]"
